Target,Planet Name,TSM,ESM (5um),Mass (M_J),Mass (M_E),Radius (R_J),Radius (R_E),T_eq,Star SpT,Star Vmag,Event,Mode,Status,Category,Program,PI Name
HAT-P-11,HAT-P-11 b,0.202,0.049,0.084,26.69772,0.389,4.36,838.0,K4,9.46,Transit,MIRI.LRS,Archived,GO,2950,Waters
WASP-121,WASP-121 b,0.322,0.54,1.157,367.72747,1.753,19.649,2720.0,F6 V,10.514,Eclipse,MIRI.LRS,Archived,GO,2961,Molliere
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,PhaseC,MIRI.F1500W,Archived,GO,3077,Gillon
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,PhaseC,MIRI.F1500W,Archived,GO,3077,Gillon
WASP-94A,WASP-94 A b,0.522,0.333,0.5,158.915,1.58,17.71,1604.0,F8,10.051,Transit,NIRSPEC.BOTS+G395H,Archived,GO,3154,Ahrer
TOI-3984,TOI-3984 A b,0.152,0.019,0.14,44.0,0.71,7.9,563.0,M4+/-0.5,15.694,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,3171,Kanodia
TOI-3984,TOI-3984 A b,0.152,0.019,0.14,44.0,0.71,7.9,563.0,M4+/-0.5,15.694,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,3171,Kanodia
TOI-3984,TOI-3984 A b,0.152,0.019,0.14,44.0,0.71,7.9,563.0,M4+/-0.5,15.694,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,3171,Kanodia
TOI-3757,TOI-3757 b,0.181,0.055,0.26838,85.3,1.071,12.0,759.0,M0 V,14.812,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,3171,Kanodia
TOI-3757,TOI-3757 b,0.181,0.055,0.26838,85.3,1.071,12.0,759.0,M0 V,14.812,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,3171,Kanodia
HATS-6,HATS-6 b,0.147,0.053,0.319,101.38777,0.998,11.187,713.0,M1 V,15.044,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,3171,Kanodia
HATS-6,HATS-6 b,0.147,0.053,0.319,101.38777,0.998,11.187,713.0,M1 V,15.044,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,3171,Kanodia
HATS-75,HATS-75 b,0.057,0.042,0.491,156.05375,0.884,9.909,772.0,nan,15.689,Transit,NIRSPEC.BOTS+PRISM,Skipped,GO,3171,Kanodia
HATS-75,HATS-75 b,0.057,0.042,0.491,156.05375,0.884,9.909,772.0,nan,15.689,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,3171,Kanodia
HATS-75,HATS-75 b,0.057,0.042,0.491,156.05375,0.884,9.909,772.0,nan,15.689,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,3171,Kanodia
HATS-75,HATS-75 b,0.057,0.042,0.491,156.05375,0.884,9.909,772.0,nan,15.689,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,3171,Kanodia
TOI-5293,TOI-5293 A b,0.095,0.05,0.54,170.4,1.06,11.9,675.0,M3+/-1,16.19,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,3171,Kanodia
TOI-5293,TOI-5293 A b,0.095,0.05,0.54,170.4,1.06,11.9,675.0,M3+/-1,16.19,Transit,NIRSPEC.BOTS+PRISM,Skipped,GO,3171,Kanodia
TOI-5293,TOI-5293 A b,0.095,0.05,0.54,170.4,1.06,11.9,675.0,M3+/-1,16.19,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,3171,Kanodia
TOI-3714,TOI-3714 b,0.099,0.094,0.7,222.47988,1.01,11.321,750.0,M2,15.7,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,3171,Kanodia
